n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
46,20,4,0.2,0.3913,0.2647,0.5255,5,1,1,2546,18,0.0071,0.1304,0.06,0.2143,0.3571,0.4918,0.5161,0.5255,0.3956,0.2647,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,self_loop,11.8
46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.3457,0.3842,0.3051,A1,base,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,20,2,0.1,0.3043,0.1505,0.3571,1,1,1,1232,14,0.0114,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.2083,0.137,0.1505,A1,legacy_agg,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.3457,0.3842,0.3051,A1,legacy_cmax,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.3457,0.3842,0.3051,A1,legacy_w1,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,5,0.25,0.0217,0.04,0.04,20,15,0,20,1,0.05,0.1304,0.06,0.1739,0.0,0.0,0.0,0.0,0.0,0.04,A1,no_bfs,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,0.1
46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.3457,0.3842,0.3051,A1,no_rank,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.8
46,20,6,0.3,0.3696,0.3312,0.4951,8,1,1,3066,17,0.0055,0.1304,0.06,0.1739,0.2963,0.2581,0.3279,0.3934,0.4574,0.3312,A1,bfs_q50,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,8,0,0.0,0.0,0.0,0.0,0,0,0,66,0,0.0,0.1304,0.06,0.1739,0.0,0.0,0.0,0.0,,,A1,bfs_q90,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,10.5
46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06,0.1739,0.3571,0.303,0.2632,0.3457,0.3842,0.3051,A1,w050,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275848,7440800,11.7
