detector,operator,config,encoding,file,rec_tag,train_scheme,n_nodes_Gp,n_edges_Gp,op_quantile,op_threshold,node_ROC_AUC,node_PR_AUC,node_best_F1,node_FPR,node_Precision,node_Recall,P@100,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,n_alerted_nodes,covered_gt,node_prec,F1_alert@5,F1_alert@10,F1_alert@20
gnn,tered,tered+rate_ratio,rate_ratio,bin.119@500000,at500000,all,17252,387473,95.0,0.0,0.8889,0.1251,0.2778,0.00615,0.0619,0.4667,0.07,15,11,3,0.2727,1.0,0.4286,1667,15,0.009,0.75,0.4615,
gnn,tered,tered+rate_ratio,rate_ratio,bin.120,atfull,all,285794,7238320,95.0,0.0,0.735,0.0002,0.0007,0.19639,0.0004,0.7692,0.0,26,2,2,1.0,0.3462,0.5143,400,9,0.0225,,,
gnn,tered,tered+rate_ratio,rate_ratio,bin.6@400000,at400000,all,22350,295913,95.0,0.0,0.719,0.0007,0.004,0.071304,0.0019,0.3333,0.0,9,3,2,0.6667,0.8889,0.7619,407,8,0.0197,,,
gnn,tered,tered+rate_ratio,rate_ratio,bin.7@400000,at400000,all,16295,326814,95.0,0.0,0.8281,0.1469,0.4,0.009887,0.0473,0.7273,0.04,11,14,4,0.2857,0.9091,0.4348,1046,10,0.0096,0.5161,0.5556,
cosine,tered,tered+rate_single,rate_single,bin.116,atfull,all,275848,7440800,95.0,0.3648,0.8006,0.0051,0.08,0.159056,0.0004,0.413,0.04,46,20,4,0.2,0.3261,0.2479,3043,15,0.0049,0.4038,0.3022,0.2479
cosine,tered,tered+rate_single,rate_single,bin.117,atfull,all,257690,8992677,95.0,0.3648,0.881,0.0113,0.0947,0.155355,0.0005,0.6,0.0,35,20,5,0.25,0.5714,0.3478,3050,20,0.0066,0.5368,0.4606,0.3478
cosine,tered,tered+rate_single,rate_single,bin.118,atfull,all,256447,8021309,95.0,0.3648,0.8872,0.0143,0.1183,0.155628,0.0005,0.6176,0.04,34,20,6,0.3,0.6765,0.4157,3188,23,0.0072,0.5625,0.4663,0.4157
cosine,tered,tered+rate_single,rate_single,bin.119@500000,at500000,all,17252,387473,95.0,0.3648,0.8925,0.0164,0.1538,0.060567,0.0019,0.1333,0.02,15,20,2,0.1,0.8667,0.1793,883,13,0.0147,0.5474,0.325,0.1793
cosine,tered,tered+rate_single,rate_single,bin.120,atfull,all,285794,7238320,95.0,0.3648,0.8856,0.0087,0.0702,0.158044,0.0003,0.4615,0.0,26,20,4,0.2,0.4615,0.2791,2999,12,0.004,0.3711,0.2535,0.2791
cosine,tered,tered+rate_single,rate_single,bin.6@400000,at400000,all,22350,295913,95.0,0.3648,0.8189,0.0013,0.0051,0.053713,0.0,0.0,0.0,9,20,2,0.1,0.7778,0.1772,722,7,0.0097,0.5283,0.3182,0.1772
