dataset,split,gids,operator,encoding,semantic,tape_dim,tape_base,min_support,coverage,seed,n_train,n_val,n_attack,n_templates,dim,runtime_s,TP,FP,TN,FN,Precision,Recall,F1,FPR,FNR,ROC_AUC,PR_AUC
streamspot,scenes,"0-6,500-501",tered,rate,onehot,8,10000.0,5,1.0,0,4,3,2,0,20,80.5,2,4,2,2,0.3333333333333333,0.5,0.4,0.6666666666666666,0.5,0.6666666666666666,0.3104166666666667
streamspot,scenes,"0-6,500-501",tered,rate,onehot,8,10000.0,5,1.0,0,4,3,2,7,25,2215.9,16472,23803,1077,1486,0.40898820608317815,0.9172513642944649,0.5657273367334672,0.9567122186495177,0.08274863570553513,0.5726040468130532,0.40301715827677675
