dataset,config,operator,encoding,semantic,tape_dim,tape_base,share_k,n_templates,train_files,attack_files,gt_nodes,inv_ok,runtime_s,TP,FP,TN,FN,Precision,Recall,F1,FPR,FNR,ROC_AUC,PR_AUC,surv_ta1-cadets-1-e5-official-2.bin.119.gz
e5_cadets,无归约基线,identity,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.119,124,True,6.6,16,3495,258326,19,0.004557106237539163,0.45714285714285713,0.009024252679075015,0.013348814648175661,0.5428571428571428,0.09512496814890435,0.002208774355550821,1.0
e5_cadets,TeRed+naive,tered,dual_naive,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.119,124,True,10.7,11,1109,251759,29,0.009821428571428571,0.275,0.01896551724137931,0.004385687394213582,0.725,0.15200213154689404,0.005017541216133103,0.6285714285714286
e5_cadets,TeRed+RATE,tered,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.119,124,True,15.1,19,2989,249879,21,0.006316489361702127,0.475,0.012467191601049869,0.011820396412357435,0.525,0.05736441542623029,0.007478750833375986,0.6285714285714286
