dataset,split,gids,operator,encoding,semantic,tape_dim,tape_base,min_support,coverage,seed,n_train,n_val,n_attack,n_templates,dim,runtime_s,TP,FP,TN,FN,Precision,Recall,F1,FPR,FNR,ROC_AUC,PR_AUC
streamspot,scenes,"0-6,500-501",identity,rate,onehot,8,10000.0,5,1.0,0,4,3,2,0,20,22.5,2,4,2,2,0.3333333333333333,0.5,0.4,0.6666666666666666,0.5,0.6666666666666666,0.3104166666666667
streamspot,scenes,"0-6,500-501",identity,rate,onehot,8,10000.0,5,1.0,0,4,3,2,0,24,113.8,16480,23812,1086,1495,0.40901419636652436,0.9168289290681502,0.5656718210994216,0.9563820387179693,0.08317107093184979,0.5724511143155312,0.4031806357436716
