dataset,split,gids,operator,encoding,semantic,tape_dim,tape_base,min_support,coverage,seed,n_train,n_val,n_attack,n_templates,dim,runtime_s,TP,FP,TN,FN,Precision,Recall,F1,FPR,FNR,ROC_AUC,PR_AUC
streamspot,scenes,"0-6,500-501",tered,dual_naive,onehot,8,10000.0,5,1.0,0,4,3,2,0,20,21.2,2,4,2,2,0.3333333333333333,0.5,0.4,0.6666666666666666,0.5,0.6666666666666666,0.3104166666666667
streamspot,scenes,"0-6,500-501",tered,dual_naive,onehot,8,10000.0,5,1.0,0,4,3,2,7,25,6.4,16476,23806,1074,1482,0.4090164341393178,0.9174741062479118,0.5657967032967034,0.9568327974276527,0.0825258937520882,0.5726080016465716,0.40315622140242624
