dataset,split,gids,operator,encoding,semantic,tape_dim,tape_base,min_support,coverage,seed,n_train,n_val,n_attack,n_templates,dim,runtime_s,TP,FP,TN,FN,Precision,Recall,F1,FPR,FNR,ROC_AUC,PR_AUC
streamspot,scenes,"0-6,500-501",tered,rate,onehot,8,10000.0,5,1.0,0,4,3,2,2,25,100.7,16470,23798,1082,1493,0.409009635442535,0.9168847074542115,0.5656780752520135,0.9565112540192926,0.08311529254578856,0.5725516862725863,0.4033107029487202
streamspot,scenes,"0-6,500-501",tered,rate,onehot,8,10000.0,5,1.0,0,4,3,2,18,25,102.1,16405,23694,1107,1502,0.4091124466944313,0.9161221868543028,0.5656311416060408,0.9553647030361679,0.08387781314569721,0.572781148406497,0.4019720288636199
