dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,rate,bin.7@400000,at400000,17797,374995,17797,374995,28,100,5000,20,raw,7.1,8,18,3,0.1667,0.75,0.2727,0.6667,5,0.0059,0.7282,0.4,0.3333,0.6452,0.6667,0.4286,
e5_cadets,tered,rate,bin.7@400000,at400000,17797,374995,16272,324747,29,100,5000,20,raw,5.6,13,20,3,0.15,0.8462,0.2548,0.9167,3,0.1333,0.8232,0.6316,0.7619,0.9167,0.7021,0.443,0.2548
