dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,none,bin.120,atfull,295765,9324081,285734,7293764,13,100,16000,20,raw,30.6,26,1,0,0.0,0.0,0.0,0.0,0,0.004,0.5545,0.0,,,,,
e5_cadets,tered,dual_naive,bin.120,atfull,295765,9324081,285734,7293764,29,100,16000,20,raw,35.1,26,20,7,0.35,0.6923,0.4649,0.5333,7,0.1538,0.885,0.4706,0.381,0.32,0.5217,0.4444,0.4649
e5_cadets,tered,rate,bin.120,atfull,295765,9324081,285734,7293764,29,100,16000,20,raw,35.3,26,20,5,0.25,0.6538,0.3617,0.5946,1,0.1538,0.8931,0.5946,0.4583,0.3729,0.4444,0.3853,0.3617
