dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,none,bin.116,atfull,287061,9333694,285021,8192983,13,100,250,20,raw,37.9,39,20,1,0.05,0.0256,0.0339,0.04,11,0.0033,0.5632,0.0,0.0,0.0,0.0,0.0,0.0339
e5_cadets,tered,dual_naive,bin.116,atfull,287061,9333694,285021,8192983,29,100,250,20,raw,40.7,39,20,6,0.3,0.4359,0.3554,0.4484,13,0.15,0.8137,0.4082,0.339,0.2899,0.2247,0.3784,0.3554
e5_cadets,tered,rate,bin.116,atfull,287061,9333694,285021,8192983,29,100,250,20,raw,40.5,39,20,7,0.35,0.4615,0.3981,0.48,14,0.15,0.8149,0.4082,0.339,0.2899,0.2247,0.3784,0.3981
