dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,none,bin.120,atfull,295765,9324081,290797,7710377,13,100,1000,20,raw,32.2,26,1,0,0.0,0.0,0.0,0.0,0,0.0035,0.561,0.0,,,,,
e5_cadets,tered,dual_naive,bin.120,atfull,295765,9324081,290797,7710377,29,100,1000,20,raw,37.0,26,20,5,0.25,0.6154,0.3556,0.5556,1,0.1739,0.8868,0.5556,0.4348,0.3571,0.4286,0.375,0.3556
e5_cadets,tered,rate,bin.120,atfull,295765,9324081,290797,7710377,29,100,1000,20,raw,37.2,26,20,6,0.3,0.7308,0.4254,0.5946,1,0.1739,0.8947,0.5946,0.4583,0.3729,0.5882,0.4848,0.4254
