dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,none,bin.118,atfull,265865,9399067,261139,7570644,13,100,1000,20,raw,33.7,30,13,0,0.0,0.0,0.0,0.0,0,0.0048,0.6221,0.0,0.0,0.0,0.0,0.0,
e5_cadets,tered,dual_naive,bin.118,atfull,265865,9399067,261139,7570644,29,100,1000,20,raw,38.2,30,20,11,0.55,0.8,0.6519,0.6982,9,0.1695,0.8897,0.5,0.6047,0.5253,0.525,0.665,0.6519
e5_cadets,tered,rate,bin.118,atfull,265865,9399067,261139,7570644,29,100,1000,20,raw,38.7,30,20,10,0.5,0.9,0.6429,0.7258,14,0.1695,0.8947,0.5,0.5714,0.5,0.4,0.665,0.6429
