dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,none,bin.120,atfull,295765,9324081,293759,9189320,13,100,250,20,raw,37.5,25,20,0,0.0,0.0,0.0,0.0,0,0.0035,0.5953,0.0,0.0,0.0,0.0,0.0,0.0
e5_cadets,tered,dual_naive,bin.120,atfull,295765,9324081,293759,9189320,29,100,250,20,raw,43.1,25,20,5,0.25,0.64,0.3596,0.5714,1,0.1622,0.8989,0.5714,0.4444,0.3636,0.2667,0.3805,0.3596
e5_cadets,tered,rate,bin.120,atfull,295765,9324081,293759,9189320,29,100,250,20,raw,43.2,25,20,5,0.25,0.64,0.3596,0.5714,1,0.1622,0.8996,0.5714,0.4444,0.3636,0.2667,0.3805,0.3596
