dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,semantic_only,bin.116,atfull,287061,9333694,287061,9333694,8,100,5000,20,raw,18.8,34,0,0,0.0,0.0,0.0,0.0,0,0.0003,0.4031,,,,,,
e5_cadets,identity,none,bin.116,atfull,287061,9333694,287061,9333694,12,100,5000,20,raw,38.3,34,20,0,0.0,0.0,0.0,0.0,0,0.0034,0.5974,0.0,0.0,0.0,0.0,0.0,0.0
e5_cadets,identity,rate_single,bin.116,atfull,287061,9333694,287061,9333694,20,100,5000,20,raw,44.9,34,20,5,0.25,0.3235,0.2821,0.3179,16,0.1395,0.8046,0.2105,0.1905,0.1739,0.1481,0.1081,0.2821
e5_cadets,identity,dual_naive,bin.116,atfull,287061,9333694,287061,9333694,28,100,5000,20,raw,44.3,34,20,5,0.25,0.3235,0.2821,0.3179,16,0.1412,0.8078,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821
e5_cadets,identity,rate,bin.116,atfull,287061,9333694,287061,9333694,28,100,5000,20,raw,44.3,34,20,5,0.25,0.3235,0.2821,0.3179,16,0.1412,0.8078,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821
e5_cadets,tered,semantic_only,bin.116,atfull,287061,9333694,275843,7360340,9,100,5000,20,raw,16.2,41,20,0,0.0,0.0,0.0,0.0,0,0.0007,0.4333,0.0,0.0,0.0,0.0,0.0,0.0
e5_cadets,tered,none,bin.116,atfull,287061,9333694,275843,7360340,13,100,5000,20,raw,30.5,41,5,0,0.0,0.0,0.0,0.0,0,0.0034,0.5515,0.0,0.0,0.0,0.0,,
e5_cadets,tered,rate_single,bin.116,atfull,287061,9333694,275843,7360340,21,100,5000,20,raw,35.2,41,20,5,0.25,0.4146,0.3119,0.4156,12,0.046,0.7948,0.3265,0.2807,0.2462,0.1975,0.2963,0.3119
e5_cadets,tered,dual_naive,bin.116,atfull,287061,9333694,275843,7360340,29,100,5000,20,raw,34.7,41,20,6,0.3,0.4634,0.3642,0.5229,10,0.1519,0.8018,0.36,0.3051,0.2647,0.2093,0.5229,0.3642
e5_cadets,tered,rate,bin.116,atfull,287061,9333694,275843,7360340,29,100,5000,20,raw,35.5,41,20,5,0.25,0.4634,0.3248,0.481,10,0.1519,0.8076,0.3265,0.2807,0.2462,0.303,0.481,0.3248
