n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
34,20,5,0.25,0.3235,0.2821,0.3179,16,1,1,3432,11,0.0032,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821,A1,base,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.5
34,20,3,0.15,0.2059,0.1736,0.2564,1,1,1,2659,7,0.0026,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.119,0.1736,A1,legacy_agg,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.4
34,20,5,0.25,0.3235,0.2821,0.3179,16,1,1,3432,11,0.0032,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821,A1,legacy_cmax,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.5
34,20,5,0.25,0.3235,0.2821,0.3179,16,1,1,3432,11,0.0032,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821,A1,legacy_w1,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.5
34,20,0,0.0,0.0,0.0,0.0,0,0,0,20,0,0.0,0.1765,0.06,0.1412,0.0,0.0,0.0,0.0,0.0,0.0,A1,no_bfs,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,0.0
34,20,5,0.25,0.3235,0.2821,0.3179,16,1,1,3432,11,0.0032,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821,A1,no_rank,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.4
34,20,6,0.3,0.3235,0.3113,0.3376,17,1,1,3616,11,0.003,0.1765,0.06,0.1412,0.2105,0.1905,0.1739,0.1481,0.1695,0.3113,A1,bfs_q50,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.5
34,20,2,0.1,0.0882,0.0938,0.1348,7,6,0,2626,3,0.0011,0.1765,0.06,0.1412,0.0,0.0,0.0,0.0,0.1224,0.0938,A1,bfs_q90,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,12.5
34,20,5,0.25,0.3235,0.2821,0.3179,16,1,1,3432,11,0.0032,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821,A1,w050,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,14.0
34,20,5,0.25,0.3235,0.2821,0.3179,16,1,1,3432,11,0.0032,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821,A1,w000,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,14.2
34,20,6,0.3,0.3529,0.3243,0.3243,20,13,0,2276,12,0.0053,0.1765,0.06,0.1412,0.0,0.0,0.0,0.0,0.0,0.3243,A3,sort_p95,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.8
