dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,semantic_only,bin.120,atfull,295765,9324081,295765,9324081,8,100,5000,20,raw,18.1,21,0,0,0.0,0.0,0.0,0.0,0,0.0002,0.4289,,,,,,
e5_cadets,identity,none,bin.120,atfull,295765,9324081,295765,9324081,12,100,5000,20,raw,37.6,21,20,0,0.0,0.0,0.0,0.0,0,0.0036,0.6611,0.0,0.0,0.0,0.0,0.0,0.0
e5_cadets,identity,rate_single,bin.120,atfull,295765,9324081,295765,9324081,20,100,5000,20,raw,44.2,21,20,3,0.15,0.5238,0.2332,0.3846,1,0.1351,0.9091,0.3846,0.3226,0.2778,0.2174,0.2623,0.2332
e5_cadets,identity,dual_naive,bin.120,atfull,295765,9324081,295765,9324081,28,100,5000,20,raw,43.4,21,20,4,0.2,0.4762,0.2817,0.3846,1,0.1389,0.9124,0.3846,0.3226,0.2778,0.2174,0.2353,0.2817
e5_cadets,identity,rate,bin.120,atfull,295765,9324081,295765,9324081,28,100,5000,20,raw,43.9,21,20,4,0.2,0.4762,0.2817,0.3846,1,0.1389,0.9124,0.3846,0.3226,0.2778,0.2174,0.2353,0.2817
e5_cadets,tered,semantic_only,bin.120,atfull,295765,9324081,285710,7306969,9,100,5000,20,raw,15.7,27,20,0,0.0,0.0,0.0,0.0,0,0.0006,0.493,0.0,0.0,0.0,0.0,0.0,0.0
e5_cadets,tered,none,bin.120,atfull,295765,9324081,285710,7306969,13,100,5000,20,raw,29.9,27,0,0,0.0,0.0,0.0,0.0,0,0.004,0.5616,,,,,,
e5_cadets,tered,rate_single,bin.120,atfull,295765,9324081,285710,7306969,21,100,5000,20,raw,34.8,27,20,4,0.2,0.5556,0.2941,0.5634,7,0.0591,0.882,0.4571,0.5405,0.4762,0.5342,0.4651,0.2941
e5_cadets,tered,dual_naive,bin.120,atfull,295765,9324081,285710,7306969,29,100,5000,20,raw,34.0,27,20,7,0.35,0.7037,0.4675,0.6101,13,0.1714,0.8841,0.4118,0.3415,0.2917,0.3846,0.5424,0.4675
e5_cadets,tered,rate,bin.120,atfull,295765,9324081,285710,7306969,29,100,5000,20,raw,34.7,27,20,6,0.3,0.7407,0.427,0.65,2,0.1714,0.8917,0.4571,0.65,0.5591,0.437,0.5846,0.427
