dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,semantic_only,bin.6@400000,at400000,24507,370937,24507,370937,8,100,5000,20,raw,0.8,6,13,0,0.0,0.0,0.0,0.0,0,0.001,0.2837,0.0,0.0,0.0,0.0,0.0,
e5_cadets,identity,none,bin.6@400000,at400000,24507,370937,24507,370937,12,100,5000,20,raw,5.8,6,2,0,0.0,0.0,0.0,0.0,0,0.0009,0.5342,0.0,0.0,,,,
e5_cadets,identity,rate_single,bin.6@400000,at400000,24507,370937,24507,370937,20,100,5000,20,raw,6.8,6,20,2,0.1,0.6667,0.1739,0.6667,1,0.0037,0.7783,0.6667,0.5,0.4,0.5,0.3077,0.1739
e5_cadets,identity,dual_naive,bin.6@400000,at400000,24507,370937,24507,370937,28,100,5000,20,raw,6.7,6,20,3,0.15,0.6667,0.2449,0.7059,4,0.004,0.79,0.5,0.6667,0.5714,0.6316,0.4138,0.2449
e5_cadets,identity,rate,bin.6@400000,at400000,24507,370937,24507,370937,28,100,5000,20,raw,6.9,6,20,3,0.15,0.6667,0.2449,0.7059,4,0.004,0.79,0.5,0.6667,0.5714,0.6316,0.4138,0.2449
e5_cadets,tered,semantic_only,bin.6@400000,at400000,24507,370937,22250,286251,9,100,5000,20,raw,0.6,10,19,2,0.1053,0.2,0.1379,0.2353,7,0.0077,0.6992,0.0,0.0,0.1538,0.1333,0.2,
e5_cadets,tered,none,bin.6@400000,at400000,24507,370937,22250,286251,13,100,5000,20,raw,4.6,10,3,0,0.0,0.0,0.0,0.0,0,0.0019,0.6227,0.0,0.0,0.0,,,
e5_cadets,tered,rate_single,bin.6@400000,at400000,24507,370937,22250,286251,21,100,5000,20,raw,5.4,10,20,2,0.1,0.8,0.1778,0.75,1,0.0052,0.8209,0.75,0.5455,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,dual_naive,bin.6@400000,at400000,24507,370937,22250,286251,29,100,5000,20,raw,5.3,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0051,0.832,0.75,0.8889,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,rate,bin.6@400000,at400000,24507,370937,22250,286251,29,100,5000,20,raw,5.4,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0056,0.8366,0.75,0.8889,0.7273,0.5333,0.32,0.1778
