dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,semantic_only,bin.117,atfull,267500,9393683,267500,9393683,8,100,5000,20,raw,19.9,30,0,0,0.0,0.0,0.0,0.0,0,0.0003,0.4902,,,,,,
e5_cadets,identity,none,bin.117,atfull,267500,9393683,267500,9393683,12,100,5000,20,raw,40.1,30,20,1,0.05,0.0333,0.04,0.0417,18,0.0046,0.7003,0.0,0.0,0.0,0.0,0.0,0.04
e5_cadets,identity,rate_single,bin.117,atfull,267500,9393683,267500,9393683,20,100,5000,20,raw,46.4,30,20,9,0.45,0.5333,0.4881,0.5161,18,0.1579,0.8901,0.1818,0.2353,0.2222,0.2,0.3636,0.4881
e5_cadets,identity,dual_naive,bin.117,atfull,267500,9393683,267500,9393683,28,100,5000,20,raw,46.1,30,20,8,0.4,0.5,0.4444,0.5,16,0.1579,0.9012,0.1818,0.2353,0.2222,0.3,0.3636,0.4444
e5_cadets,identity,rate,bin.117,atfull,267500,9393683,267500,9393683,28,100,5000,20,raw,47.3,30,20,8,0.4,0.5,0.4444,0.5,16,0.1579,0.9012,0.1818,0.2353,0.2222,0.3,0.3636,0.4444
e5_cadets,tered,semantic_only,bin.117,atfull,267500,9393683,257566,7424813,9,100,5000,20,raw,17.6,37,20,1,0.05,0.027,0.0351,0.037,17,0.0006,0.4831,0.0,0.0,0.0,0.0,0.0,0.0351
e5_cadets,tered,none,bin.117,atfull,267500,9393683,257566,7424813,13,100,5000,20,raw,31.6,37,3,0,0.0,0.0,0.0,0.0,0,0.0051,0.6282,0.0,0.0,0.0,,,
e5_cadets,tered,rate_single,bin.117,atfull,267500,9393683,257566,7424813,21,100,5000,20,raw,36.9,37,20,4,0.2,0.5135,0.2879,0.6038,2,0.0873,0.8564,0.4255,0.6038,0.5246,0.5373,0.4497,0.2879
e5_cadets,tered,dual_naive,bin.117,atfull,267500,9393683,257566,7424813,29,100,5000,20,raw,35.9,37,20,7,0.35,0.6486,0.4547,0.6106,10,0.1975,0.8728,0.4583,0.3729,0.3143,0.4027,0.6106,0.4547
e5_cadets,tered,rate,bin.117,atfull,267500,9393683,257566,7424813,29,100,5000,20,raw,37.4,37,20,7,0.35,0.7297,0.4731,0.6494,8,0.1975,0.8853,0.52,0.4127,0.3421,0.4027,0.6473,0.4731
