dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,rate_ratio,bin.116,atfull,287061,9333694,275843,7360340,45,100,5000,20,raw,40.7,41,20,7,0.35,0.4634,0.3988,0.5165,12,0.1558,0.8112,0.3265,0.2807,0.2462,0.3212,0.507,0.3988
e5_cadets,tered,rate_ratio,bin.117,atfull,267500,9393683,257566,7424813,45,100,5000,20,raw,40.6,37,20,6,0.3,0.6216,0.4047,0.649,7,0.2025,0.8884,0.4255,0.4583,0.4112,0.5373,0.6106,0.4047
e5_cadets,tered,rate_ratio,bin.118,atfull,265865,9399067,256554,7453735,45,100,5000,20,raw,40.8,31,20,7,0.35,0.8387,0.4939,0.6916,8,0.1802,0.901,0.4878,0.3922,0.3279,0.4507,0.6076,0.4939
e5_cadets,tered,rate_ratio,bin.119@500000,at500000,18635,476913,16849,255601,45,100,5000,20,raw,5.7,15,20,3,0.15,0.9333,0.2585,0.8889,2,0.1176,0.9301,0.8462,0.8889,0.7273,0.7304,0.4541,0.2585
e5_cadets,tered,rate_ratio,bin.120,atfull,295765,9324081,285710,7306969,45,100,5000,20,raw,40.3,27,20,5,0.25,0.7407,0.3738,0.65,2,0.1765,0.8962,0.4571,0.65,0.5591,0.437,0.5101,0.3738
e5_cadets,tered,rate_ratio,bin.6@400000,at400000,24507,370937,22250,286251,45,100,5000,20,raw,5.9,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0065,0.8474,0.75,0.8889,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,rate_ratio,bin.7@400000,at400000,17797,374995,16272,324747,45,100,5000,20,raw,5.9,13,20,3,0.15,0.8462,0.2548,0.9167,3,0.1333,0.8292,0.6316,0.7619,0.9167,0.7021,0.443,0.2548
