dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,semantic_only,bin.7@400000,at400000,17797,374995,17797,374995,8,100,5000,20,raw,0.7,8,17,0,0.0,0.0,0.0,0.0,0,0.0013,0.2381,0.0,0.0,0.0,0.0,0.0,
e5_cadets,identity,none,bin.7@400000,at400000,17797,374995,17797,374995,12,100,5000,20,raw,5.7,8,0,0,0.0,0.0,0.0,0.0,0,0.0013,0.3874,,,,,,
e5_cadets,identity,rate_single,bin.7@400000,at400000,17797,374995,17797,374995,20,100,5000,20,raw,6.8,8,17,3,0.1765,0.75,0.2857,0.6452,3,0.0057,0.723,0.4,0.3333,0.6452,0.4878,0.4286,
e5_cadets,identity,dual_naive,bin.7@400000,at400000,17797,374995,17797,374995,28,100,5000,20,raw,6.6,8,18,3,0.1667,0.75,0.2727,0.6667,5,0.0059,0.7282,0.4,0.3333,0.6452,0.6667,0.4286,
e5_cadets,identity,rate,bin.7@400000,at400000,17797,374995,17797,374995,28,100,5000,20,raw,6.8,8,18,3,0.1667,0.75,0.2727,0.6667,5,0.0059,0.7282,0.4,0.3333,0.6452,0.6667,0.4286,
e5_cadets,tered,semantic_only,bin.7@400000,at400000,17797,374995,16272,324747,9,100,5000,20,raw,0.7,13,20,2,0.1,0.1538,0.1212,0.2222,5,0.0096,0.6308,0.0,0.0,0.125,0.2222,0.1739,0.1212
e5_cadets,tered,none,bin.7@400000,at400000,17797,374995,16272,324747,13,100,5000,20,raw,4.6,13,0,0,0.0,0.0,0.0,0.0,0,0.0119,0.5064,,,,,,
e5_cadets,tered,rate_single,bin.7@400000,at400000,17797,374995,16272,324747,21,100,5000,20,raw,5.5,13,20,3,0.15,0.8462,0.2548,0.9167,3,0.1,0.8021,0.6316,0.8182,0.9167,0.7021,0.443,0.2548
e5_cadets,tered,dual_naive,bin.7@400000,at400000,17797,374995,16272,324747,29,100,5000,20,raw,5.4,13,20,2,0.1,0.8462,0.1789,0.9167,2,0.1333,0.8162,0.8182,0.9167,0.7458,0.5432,0.3235,0.1789
e5_cadets,tered,rate,bin.7@400000,at400000,17797,374995,16272,324747,29,100,5000,20,raw,5.4,13,20,3,0.15,0.8462,0.2548,0.9167,3,0.1333,0.8232,0.6316,0.7619,0.9167,0.7021,0.443,0.2548
