dataset,config,encoding,file,n_orig_gt,n_gt_kept,n_gt_absorbed,n_gt_reduced,n_regions,n_removed,n_nodes_orig,n_nodes_Gp,n_boundary_gt,worst_deg_delta,n_alerts,alert_TP_orig,alert_P_orig,orig_covered,orig_recall,F1_orig,alert_P_red,node_cov_red,F1_red,n_alerted_red,n_alerted_orig,orig_load_prec
e5_cadets,identity+rate,rate,bin.116,34,19,15,34,0,0,287061,287061,0,0.0,20,3,0.15,7,0.2059,0.1736,0.15,0.2059,0.1736,2659,2659,0.00263
e5_cadets,TeRed+naive,dual_naive,bin.116,34,19,15,41,5000,21218,287061,275843,0,0.0,20,1,0.05,5,0.1471,0.0746,0.05,0.2195,0.0814,1116,1679,0.00298
e5_cadets,TeRed+RATE,rate,bin.116,34,19,15,41,5000,21218,287061,275843,0,0.0,20,2,0.1,6,0.1765,0.1277,0.1,0.2439,0.1418,1361,2164,0.00277
e5_cadets,TeRed+RATE*,rate_ratio,bin.116,34,19,15,41,5000,21218,287061,275843,0,0.0,20,2,0.1,6,0.1765,0.1277,0.1,0.2683,0.1457,1189,1719,0.00349
e5_cadets,identity+rate_ratio,rate_ratio,bin.116,34,19,15,34,0,0,287061,287061,0,0.0,20,4,0.2,9,0.2647,0.2278,0.2,0.2647,0.2278,2103,2103,0.00428
e5_cadets,identity+rate,rate,bin.117,30,19,11,30,0,0,267500,267500,0,0.0,20,5,0.25,10,0.3333,0.2857,0.25,0.3,0.2727,2927,2927,0.00342
e5_cadets,TeRed+naive,dual_naive,bin.117,30,19,11,37,4762,19458,267500,257566,0,0.0,20,2,0.1,7,0.2333,0.14,0.1,0.3243,0.1529,1163,1694,0.00413
e5_cadets,TeRed+RATE,rate,bin.117,30,19,11,37,4762,19458,267500,257566,0,0.0,20,5,0.25,13,0.4333,0.3171,0.25,0.4865,0.3303,2145,3360,0.00387
e5_cadets,TeRed+RATE*,rate_ratio,bin.117,30,19,11,37,4762,19458,267500,257566,0,0.0,20,4,0.2,9,0.3,0.24,0.2,0.4054,0.2679,2144,3568,0.00252
e5_cadets,identity+rate_ratio,rate_ratio,bin.117,30,19,11,30,0,0,267500,267500,0,0.0,20,4,0.2,8,0.2667,0.2286,0.2,0.2333,0.2154,2486,2486,0.00322
e5_cadets,identity+rate,rate,bin.118,27,15,12,27,0,0,265865,265865,0,0.0,20,8,0.4,18,0.6667,0.5,0.4,0.5185,0.4516,2855,2855,0.0063
e5_cadets,TeRed+naive,dual_naive,bin.118,27,15,12,31,4531,18373,265865,256554,0,0.0,20,4,0.2,10,0.3704,0.2597,0.2,0.4516,0.2772,1553,2541,0.00394
e5_cadets,TeRed+RATE,rate,bin.118,27,15,12,31,4531,18373,265865,256554,0,0.0,20,4,0.2,15,0.5556,0.2941,0.2,0.4839,0.283,1747,2809,0.00534
e5_cadets,TeRed+RATE*,rate_ratio,bin.118,27,15,12,31,4531,18373,265865,256554,0,0.0,20,5,0.25,11,0.4074,0.3099,0.25,0.4516,0.3218,2123,3428,0.00321
e5_cadets,identity+rate_ratio,rate_ratio,bin.118,27,15,12,27,0,0,265865,265865,0,0.0,20,5,0.25,15,0.5556,0.3448,0.25,0.5185,0.3373,2377,2377,0.00631
e5_cadets,identity+rate,rate,bin.119@500000,10,3,7,10,0,0,18635,18635,0,0.0,10,1,0.1,8,0.8,0.1778,0.1,0.8,0.1778,1222,1222,0.00655
e5_cadets,TeRed+naive,dual_naive,bin.119@500000,10,3,7,15,1059,3904,18635,16849,0,0.0,20,2,0.1,9,0.9,0.18,0.1,0.9333,0.1806,1029,1608,0.0056
e5_cadets,TeRed+RATE,rate,bin.119@500000,10,3,7,15,1059,3904,18635,16849,0,0.0,20,3,0.15,9,0.9,0.2571,0.15,0.8,0.2526,871,1468,0.00613
e5_cadets,TeRed+RATE*,rate_ratio,bin.119@500000,10,3,7,15,1059,3904,18635,16849,0,0.0,20,3,0.15,9,0.9,0.2571,0.15,0.9333,0.2585,865,1452,0.0062
