n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
15,20,2,0.1,0.8667,0.1793,0.8462,1,1,1,977,13,0.0133,0.1333,0.02,0.2353,0.8462,0.5946,0.7536,0.5474,0.325,0.1793,A1,legacy_cmax,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.6
15,20,2,0.1,0.8667,0.1793,0.8462,1,1,1,977,13,0.0133,0.1333,0.02,0.2353,0.8462,0.5946,0.7536,0.5474,0.325,0.1793,A1,legacy_w1,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.6
15,20,2,0.1,0.1333,0.1143,0.2353,2,1,1,20,2,0.1,0.1333,0.02,0.2353,0.125,0.2353,0.2222,0.2,0.16,0.1143,A1,no_bfs,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.0
15,20,2,0.1,0.8667,0.1793,0.8462,1,1,1,977,13,0.0133,0.1333,0.02,0.2353,0.8462,0.5946,0.7536,0.5474,0.325,0.1793,A1,no_rank,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.6
15,20,3,0.15,1.0,0.2609,0.8889,1,1,1,1048,15,0.0143,0.1333,0.02,0.2353,0.8889,0.6154,0.7778,0.56,0.3294,0.2609,A1,bfs_q50,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.9
15,5,1,0.2,0.8667,0.325,0.9286,1,1,1,521,13,0.025,0.1333,0.02,0.2353,0.9286,0.6341,0.4815,0.325,,,A1,bfs_q90,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.6
15,20,2,0.1,0.8667,0.1793,0.8462,1,1,1,977,13,0.0133,0.1333,0.02,0.2353,0.8462,0.5946,0.7536,0.5474,0.325,0.1793,A1,w050,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.6
15,20,2,0.1,0.8667,0.1793,0.8462,1,1,1,977,13,0.0133,0.1333,0.02,0.2353,0.8462,0.5946,0.7536,0.5474,0.325,0.1793,A1,w000,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.6
15,20,2,0.1,0.8667,0.1793,0.3881,8,2,0,977,13,0.0133,0.1333,0.02,0.2353,0.0,0.2105,0.1905,0.16,0.325,0.1793,A3,sort_p95,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,0.6
15,20,1,0.05,0.8,0.0941,0.8889,1,1,1,875,12,0.0137,0.1333,0.02,0.2222,0.8889,0.6154,0.4706,0.32,0.1778,0.0941,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,log_deg,0.7
