n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
46,20,4,0.2,0.3261,0.2479,0.4038,5,1,1,3043,15,0.0049,0.087,0.04,0.08,0.3571,0.303,0.2632,0.4038,0.3022,0.2479,A5,enc_rate_single,TeRed+RATE,rate_single,bin.116,atfull,100,20,raw,275848,7440800,33.4
46,1,0,0.0,0.0,0.0,0.0,0,0,0,46,0,0.0,0.0,0.0,0.0034,0.0,,,,,,A5,enc_none,TeRed+RATE,none,bin.116,atfull,100,20,raw,275848,7440800,28.1
46,20,5,0.25,0.3913,0.3051,0.5056,7,1,1,2743,18,0.0066,0.1304,0.06,0.1818,0.3571,0.303,0.375,0.4404,0.439,0.3051,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,36.9
46,20,5,0.25,0.3696,0.2982,0.4871,7,1,1,2295,17,0.0074,0.1304,0.06,0.1791,0.3571,0.303,0.375,0.3842,0.425,0.2982,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.116,atfull,100,20,raw,275848,7440800,37.2
46,20,4,0.2,0.3478,0.254,0.4324,7,1,1,2593,16,0.0062,0.1304,0.06,0.1791,0.3273,0.386,0.352,0.2993,0.3721,0.254,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.116,atfull,100,20,raw,275848,7440800,40.5
30,20,8,0.4,0.5,0.4444,0.5,16,1,1,3425,15,0.0044,0.2667,0.08,0.1579,0.1818,0.2353,0.2222,0.3,0.3636,0.4444,A1,base,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,18.8
30,20,5,0.25,0.3333,0.2857,0.2927,14,1,1,2927,10,0.0034,0.2667,0.08,0.1579,0.1818,0.2353,0.2222,0.2,0.2824,0.2857,A1,legacy_agg,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,14.1
30,20,8,0.4,0.5,0.4444,0.5,16,1,1,3425,15,0.0044,0.2667,0.08,0.1579,0.1818,0.2353,0.2222,0.3,0.3636,0.4444,A1,legacy_cmax,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,14.0
30,20,8,0.4,0.5,0.4444,0.5,16,1,1,3425,15,0.0044,0.2667,0.08,0.1579,0.1818,0.2353,0.2222,0.3,0.3636,0.4444,A1,legacy_w1,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,14.0
30,20,0,0.0,0.0,0.0,0.0,0,0,0,20,0,0.0,0.2667,0.08,0.1579,0.0,0.0,0.0,0.0,0.0,0.0,A1,no_bfs,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,0.0
30,20,8,0.4,0.5,0.4444,0.5,16,1,1,3425,15,0.0044,0.2667,0.08,0.1579,0.1818,0.2353,0.2222,0.3,0.3636,0.4444,A1,no_rank,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,14.2
30,20,6,0.3,0.4333,0.3545,0.4309,14,1,1,3810,13,0.0034,0.2667,0.08,0.1579,0.125,0.1176,0.1111,0.1,0.3158,0.3545,A1,bfs_q50,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,14.1
30,20,5,0.25,0.1667,0.2,0.2174,16,4,0,3219,5,0.0016,0.2667,0.08,0.1579,0.0,0.0,0.0,0.1143,0.2,0.2,A1,bfs_q90,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.1
30,20,8,0.4,0.5,0.4444,0.5,16,1,1,3425,15,0.0044,0.2667,0.08,0.1579,0.1818,0.2353,0.2222,0.3,0.3636,0.4444,A1,w050,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,14.0
30,20,8,0.4,0.5,0.4444,0.5,16,1,1,3425,15,0.0044,0.2667,0.08,0.1579,0.1818,0.2353,0.2222,0.3,0.3636,0.4444,A1,w000,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.4
30,20,9,0.45,0.5333,0.4881,0.4881,20,1,1,2351,16,0.0068,0.2667,0.08,0.1579,0.0645,0.0625,0.0606,0.0571,0.1333,0.4881,A3,sort_p95,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,13.4
30,20,3,0.15,0.2333,0.1826,0.25,6,4,0,2110,7,0.0033,0.0,0.0,0.0209,0.0,0.0,0.0,0.1333,0.2,0.1826,A4,v4_drop_log_deg,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,log_deg,13.3
30,20,4,0.2,0.2333,0.2154,0.3457,6,1,1,1761,7,0.004,0.0,0.0,0.0093,0.1818,0.2353,0.2222,0.3,0.2947,0.2154,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,out_in_ratio,13.5
30,20,7,0.35,0.5333,0.4226,0.6667,6,1,1,4000,16,0.004,0.2667,0.08,0.3077,0.125,0.2353,0.3333,0.5,0.5455,0.4226,A4,v4_drop_self_loop,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,self_loop,13.9
35,20,8,0.4,0.6857,0.5053,0.7037,4,1,1,2340,24,0.0103,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6468,0.6779,0.5053,A1,base,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.7
35,20,4,0.2,0.5429,0.2923,0.6538,3,1,1,1176,19,0.0162,0.2857,0.1,0.2133,0.2051,0.5714,0.6538,0.5368,0.3709,0.2923,A1,legacy_agg,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.7
35,20,8,0.4,0.6857,0.5053,0.7037,4,1,1,2340,24,0.0103,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6468,0.6779,0.5053,A1,legacy_cmax,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.7
35,20,8,0.4,0.6857,0.5053,0.7037,4,1,1,2340,24,0.0103,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6468,0.6779,0.5053,A1,legacy_w1,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.8
35,20,0,0.0,0.0,0.0,0.0,0,0,0,20,0,0.0,0.2857,0.1,0.2133,0.0,0.0,0.0,0.0,0.0,0.0,A1,no_bfs,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,0.0
35,20,8,0.4,0.6857,0.5053,0.7037,4,1,1,2340,24,0.0103,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6468,0.6779,0.5053,A1,no_rank,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.7
