dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,none,bin.120,atfull,295765,285794,7238320,13,100,20,raw,36.2,26,1,0,0.0,0.0,0.0,0.0,0,0.004,0.5707,0.0,,,,,
e5_cadets,tered,rate_single,bin.120,atfull,295765,285794,7238320,21,100,20,raw,37.3,26,20,4,0.2,0.4615,0.2791,0.4706,1,0.0702,0.8857,0.4706,0.381,0.4557,0.3711,0.2535,0.2791
e5_cadets,tered,dual_naive,bin.120,atfull,295765,285794,7238320,29,100,20,raw,38.0,26,20,7,0.35,0.6538,0.4559,0.5946,3,0.2034,0.8934,0.4706,0.5143,0.5946,0.4962,0.5,0.4559
e5_cadets,tered,rate,bin.120,atfull,295765,285794,7238320,29,100,20,raw,38.1,26,20,5,0.25,0.7308,0.3725,0.4768,11,0.2034,0.8958,0.4706,0.381,0.4557,0.3711,0.3636,0.3725
