dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,none,bin.6@400000,at400000,24507,22350,295913,13,100,20,raw,4.5,9,1,0,0.0,0.0,0.0,0.0,0,0.0016,0.6161,0.0,,,,,
e5_cadets,tered,rate_single,bin.6@400000,at400000,24507,22350,295913,21,100,20,raw,5.2,9,20,2,0.1,0.7778,0.1772,0.875,2,0.0051,0.8194,0.8,0.875,0.7179,0.5283,0.3182,0.1772
e5_cadets,tered,dual_naive,bin.6@400000,at400000,24507,22350,295913,29,100,20,raw,5.1,9,20,2,0.1,0.7778,0.1772,0.875,2,0.0046,0.8262,0.2,0.875,0.7179,0.5283,0.3182,0.1772
e5_cadets,tered,rate,bin.6@400000,at400000,24507,22350,295913,29,100,20,raw,5.1,9,20,2,0.1,0.7778,0.1772,0.875,2,0.0054,0.8369,0.2,0.875,0.7179,0.5283,0.3182,0.1772
