dataset,config,fig,encoding,file,n_gt_orig,n_kept,covered_kept,recall_kept,alert_P_kept,F1_kept,n_alerts,alert_TP_kept,n_nodes_Gp,node_best_f1,node_cov,F1_alert,best_F1_alert,best_b,alert_P
e5_cadets,identity+rate_ratio,identity,rate_ratio,bin.120,21,14,4,0.2857,0.15,0.1967,20,3,295765,0.1389,0.4762,0.2817,0.3846,1,0.2
e5_cadets,tered+rate_ratio,tered,rate_ratio,bin.120,21,14,4,0.2857,0.2,0.2353,20,4,285794,0.2069,0.6154,0.4462,0.6186,9,0.35
