dataset,config,fig,encoding,file,n_gt_orig,n_kept,covered_kept,recall_kept,alert_P_kept,F1_kept,n_alerts,alert_TP_kept,n_nodes_Gp,node_best_f1,node_cov,F1_alert,best_F1_alert,best_b,alert_P
e5_cadets,identity+rate_ratio,identity,rate_ratio,bin.118,27,18,11,0.6111,0.3,0.4024,20,6,265865,0.1429,0.7407,0.5599,0.6307,14,0.45
e5_cadets,tered+rate_ratio,tered,rate_ratio,bin.118,27,18,10,0.5556,0.2,0.2941,20,4,256447,0.2037,0.7647,0.4309,0.5532,1,0.3
