dataset,config,fig,encoding,file,n_gt_orig,n_kept,covered_kept,recall_kept,alert_P_kept,F1_kept,n_alerts,alert_TP_kept,n_nodes_Gp,node_best_f1,node_cov,F1_alert,best_F1_alert,best_b,alert_P
e5_cadets,identity+rate,identity,rate,bin.7@400000,8,3,1,0.3333,0.0556,0.0952,18,1,17797,0.0059,0.75,0.2727,0.6667,5,0.1667
e5_cadets,tered+rate_ratio,tered,rate_ratio,bin.7@400000,8,3,1,0.3333,0.05,0.087,20,1,16295,0.1538,0.8182,0.2535,0.8421,2,0.15
