dataset,config,fig,encoding,file,n_gt_orig,n_kept,covered_kept,recall_kept,alert_P_kept,F1_kept,n_alerts,alert_TP_kept,n_nodes_Gp,node_best_f1,node_cov,F1_alert,best_F1_alert,best_b,alert_P
e5_cadets,identity+rate_ratio,identity,rate_ratio,bin.119@500000,10,5,3,0.6,0.05,0.0923,20,1,18635,0.2857,0.8,0.0941,0.8889,1,0.05
e5_cadets,tered+rate_ratio,tered,rate_ratio,bin.119@500000,10,5,3,0.6,0.05,0.0923,20,1,17252,0.2353,0.8667,0.1793,0.8462,1,0.1
