dataset,config,fig,encoding,file,n_gt_orig,n_kept,covered_kept,recall_kept,alert_P_kept,F1_kept,n_alerts,alert_TP_kept,n_nodes_Gp,node_best_f1,node_cov,F1_alert,best_F1_alert,best_b,alert_P
e5_cadets,identity+rate_ratio,identity,rate_ratio,bin.6@400000,6,3,1,0.3333,0.05,0.087,20,1,24507,0.004,0.6667,0.2449,0.7059,4,0.15
e5_cadets,tered+rate_ratio,tered,rate_ratio,bin.6@400000,6,3,1,0.3333,0.05,0.087,20,1,22350,0.0059,0.7778,0.1772,0.875,2,0.1
